address,city,st,zip,housenum,street,lat,lon
104 ABELIA WAY,EAST PALO ALTO,CA,94303,104,ABELIA WAY,37.45425,-122.12721
107 ABELIA WAY,EAST PALO ALTO,CA,94303,107,ABELIA WAY,37.45441,-122.12757
108 ABELIA WAY,PALO ALTO,CA,94303,108,ABELIA WAY,37.45437,-122.127
111 ABELIA WAY,EAST PALO ALTO,CA,94303,111,ABELIA WAY,37.45454,-122.12747
112 ABELIA WAY,EAST PALO ALTO,CA,94303,112,ABELIA WAY,37.45447,-122.12688
115 ABELIA WAY,EAST PALO ALTO,CA,94303,115,ABELIA WAY,37.45466,-122.12736
124 ABELIA WAY,EAST PALO ALTO,CA,94303,124,ABELIA WAY,37.45489,-122.12671
127 ABELIA WAY,EAST PALO ALTO,CA,94303,127,ABELIA WAY,37.45508,-122.12717
128 ABELIA WAY,EAST PALO ALTO,CA,94303,128,ABELIA WAY,37.45503,-122.12667
132 ABELIA WAY,EAST PALO ALTO,CA,94303,132,ABELIA WAY,37.45517,-122.12667
140 ABELIA WAY,PALO ALTO,CA,94303,140,ABELIA WAY,37.45545,-122.12666
143 ABELIA WAY,EAST PALO ALTO,CA,94303,143,ABELIA WAY,37.45563,-122.12717
144 ABELIA WAY,EAST PALO ALTO,CA,94303,144,ABELIA WAY,37.45558,-122.12666
148 ABELIA WAY,EAST PALO ALTO,CA,94303,148,ABELIA WAY,37.45572,-122.12664
160 ABELIA WAY,EAST PALO ALTO,CA,94303,160,ABELIA WAY,37.45613,-122.12664
2060 ADDISON AVE,EAST PALO ALTO,CA,94303,2060,ADDISON AVE,37.46407,-122.14879
2061 ADDISON AVE,EAST PALO ALTO,CA,94303,2061,ADDISON AVE,37.4641,-122.14925
2078 ADDISON AVE,EAST PALO ALTO,CA,94303,2078,ADDISON AVE,37.46421,-122.14875
2085 ADDISON AVE,EAST PALO ALTO,CA,94303,2085,ADDISON AVE,37.46426,-122.14929
2093 ADDISON AVE,EAST PALO ALTO,CA,94303,2093,ADDISON AVE,37.46445,-122.14908
2118 ADDISON AVE,EAST PALO ALTO,CA,94303,2118,ADDISON AVE,37.46552,-122.14822
2120 ADDISON AVE,EAST PALO ALTO,CA,94303,2120,ADDISON AVE,37.46563,-122.14826
2135 ADDISON AVE,EAST PALO ALTO,CA,94303,2135,ADDISON AVE,37.46585,-122.14868
2136 ADDISON AVE,EAST PALO ALTO,CA,94303,2136,ADDISON AVE,37.46606,-122.14816
2155 ADDISON AVE,EAST PALO ALTO,CA,94303,2155,ADDISON AVE,37.4662,-122.14855
2161 ADDISON AVE,EAST PALO ALTO,CA,94303,2161,ADDISON AVE,37.46639,-122.14852
2165 ADDISON AVE,EAST PALO ALTO,CA,94303,2165,ADDISON AVE,37.46654,-122.14853
2169 ADDISON AVE,EAST PALO ALTO,CA,94303,2169,ADDISON AVE,37.46663,-122.14844
2175 ADDISON AVE,EAST PALO ALTO,CA,94303,2175,ADDISON AVE,37.46681,-122.14841
2181 ADDISON AVE,EAST PALO ALTO,CA,94303,2181,ADDISON AVE,37.46693,-122.14844
2187 ADDISON AVE,EAST PALO ALTO,CA,94303,2187,ADDISON AVE,37.46708,-122.14836
2205 ADDISON AVE,EAST PALO ALTO,CA,94303,2205,ADDISON AVE,37.46771,-122.14825
2208 ADDISON AVE,PALO ALTO,CA,94303,2208,ADDISON AVE,37.46767,-122.14776
2209 ADDISON AVE,EAST PALO ALTO,CA,94303,2209,ADDISON AVE,37.4679,-122.14818
2212 ADDISON AVE,PALO ALTO,CA,94303,2212,ADDISON AVE,37.46781,-122.14776
2213 ADDISON AVE,EAST PALO ALTO,CA,94303,2213,ADDISON AVE,37.46811,-122.14816
2215 ADDISON AVE,EAST PALO ALTO,CA,94303,2215,ADDISON AVE,37.46821,-122.14812
2218 ADDISON AVE,EAST PALO ALTO,CA,94303,2218,ADDISON AVE,37.46796,-122.1477
2222 ADDISON AVE,EAST PALO ALTO,CA,94303,2222,ADDISON AVE,37.46808,-122.1477
2226 ADDISON AVE,EAST PALO ALTO,CA,94303,2226,ADDISON AVE,37.46822,-122.14765
2229 ADDISON AVE,EAST PALO ALTO,CA,94303,2229,ADDISON AVE,37.4687,-122.14801
2230 ADDISON AVE,EAST PALO ALTO,CA,94303,2230,ADDISON AVE,37.46835,-122.14762
